feature,importance,importance_std,split_id,train_end,horizon,model
HospRisk_ewm12,0.011058336662525804,0.0013673073871219093,1,2018-12-31,4,Ridge
HospRisk_ewm24,0.06708439998044484,0.002485705100096564,1,2018-12-31,4,Ridge
HospRisk_ewm52,0.00010331281291589,0.0001483257262651422,1,2018-12-31,4,Ridge
year,0.0,0.0,1,2018-12-31,4,Lasso
month,-4.94162069529791e-05,4.040908695446985e-05,1,2018-12-31,4,Lasso
quarter,0.0,0.0,1,2018-12-31,4,Lasso
week_sin,0.0,0.0,1,2018-12-31,4,Lasso
week_cos,0.00018995772001106359,0.00010041173036888316,1,2018-12-31,4,Lasso
HospRisk_lag1,0.0001676289913981499,0.00016721366994399035,1,2018-12-31,4,Lasso
HospRisk_lag2,3.8776963561359954e-06,8.255368152762893e-06,1,2018-12-31,4,Lasso
HospRisk_lag4,-2.877608468996873e-05,1.858545137602657e-05,1,2018-12-31,4,Lasso
HospRisk_lag8,-9.274853537747929e-05,4.6523977177699084e-05,1,2018-12-31,4,Lasso
HospRisk_lag12,6.216290627566456e-05,5.6478221188509176e-05,1,2018-12-31,4,Lasso
HospRisk_lag24,-2.1393881850284568e-05,2.833392753118125e-05,1,2018-12-31,4,Lasso
HospRisk_lag52,0.00025005554002249797,0.0001801862283711281,1,2018-12-31,4,Lasso
HospRisk_rollmean12,0.0,0.0,1,2018-12-31,4,Lasso
HospRisk_rollmean24,0.0,0.0,1,2018-12-31,4,Lasso
HospRisk_rollmean52,0.022400942233018518,0.0018051048222308538,1,2018-12-31,4,Lasso
HospRisk_ewm12,0.0,0.0,1,2018-12-31,4,Lasso
HospRisk_ewm24,0.0,0.0,1,2018-12-31,4,Lasso
HospRisk_ewm52,0.0,0.0,1,2018-12-31,4,Lasso
year,0.0,0.0,1,2018-12-31,4,ElasticNet
month,-6.23455170569942e-05,5.26362176269133e-05,1,2018-12-31,4,ElasticNet
quarter,0.0,0.0,1,2018-12-31,4,ElasticNet
week_sin,0.0,0.0,1,2018-12-31,4,ElasticNet
week_cos,0.0002020694963163483,0.00010597095278213534,1,2018-12-31,4,ElasticNet
HospRisk_lag1,0.0001682033309695574,0.00017539372529513532,1,2018-12-31,4,ElasticNet
HospRisk_lag2,6.076009674232941e-06,1.5063410750486156e-05,1,2018-12-31,4,ElasticNet
HospRisk_lag4,-4.060649245301584e-05,2.475975174919862e-05,1,2018-12-31,4,ElasticNet
HospRisk_lag8,-0.00010840442452946796,5.9561592022740314e-05,1,2018-12-31,4,ElasticNet
HospRisk_lag12,9.078968405764609e-05,7.339907397585637e-05,1,2018-12-31,4,ElasticNet
HospRisk_lag24,-3.138105142442837e-05,4.810351974414086e-05,1,2018-12-31,4,ElasticNet
HospRisk_lag52,0.0002495477369113375,0.00018878452805743946,1,2018-12-31,4,ElasticNet
HospRisk_rollmean12,0.0,0.0,1,2018-12-31,4,ElasticNet
HospRisk_rollmean24,0.0,0.0,1,2018-12-31,4,ElasticNet
HospRisk_rollmean52,0.02307705495097944,0.0018484159010095614,1,2018-12-31,4,ElasticNet
HospRisk_ewm12,0.0,0.0,1,2018-12-31,4,ElasticNet
HospRisk_ewm24,0.0,0.0,1,2018-12-31,4,ElasticNet
HospRisk_ewm52,0.0,0.0,1,2018-12-31,4,ElasticNet
year,0.0,0.0,1,2018-12-31,4,PLS
