State,model,rmse,mae
WEST VIRGINIA,ElasticNet,2.857001161402903,2.256999076330489
WEST VIRGINIA,Lasso,2.8569362358717334,2.2569217258690295
WEST VIRGINIA,LightGBM,2.6392070576155326,2.1360301825084718
WEST VIRGINIA,PLS,2.8776984025681673,2.2937435137434647
WEST VIRGINIA,Ridge,2.8596328250872918,2.265577552861499
WEST VIRGINIA,XGBoost,2.6332226848517246,2.119870106379191
WISCONSIN,CatBoost,5.448236945367546,4.2970931406143285
WISCONSIN,ElasticNet,5.613079044584485,4.473244533425578
WISCONSIN,Lasso,5.6132653333744225,4.473413553955511
WISCONSIN,LightGBM,4.8042391137985865,3.8564192285304877
WISCONSIN,PLS,5.662808602083629,4.504265191782512
WISCONSIN,Ridge,5.5525394081403645,4.414997968398172
WISCONSIN,XGBoost,4.839679480774731,3.8368863066037497
