State,model,rmse,mae
ARKANSAS,LightGBM_h3,3.6379668849669264,2.864188218804399
ARKANSAS,LightGBM_h6,3.639315586733241,2.788624224692153
ARKANSAS,PLS_h1,4.0165789545081045,3.227829521527219
ARKANSAS,PLS_h12,4.035862320296031,3.3244925579255735
ARKANSAS,PLS_h3,4.079063706374736,3.2592805170172574
ARKANSAS,PLS_h6,3.882818437749849,3.0436366506730743
ARKANSAS,Ridge_h1,4.091534055444257,3.267078080676281
ARKANSAS,Ridge_h12,3.9779070032051966,3.291597385393677
ARKANSAS,Ridge_h3,4.063086484908468,3.2572085959784514
ARKANSAS,Ridge_h6,3.8259482224895947,3.044689338377824
ARKANSAS,XGBoost_h1,3.658001770916401,2.883397191762924
ARKANSAS,XGBoost_h12,3.4749087090854003,2.789953420559565
ARKANSAS,XGBoost_h3,3.6287486840703083,2.84752349058787
ARKANSAS,XGBoost_h6,3.647439238394283,2.801845967769623
COLORADO,CatBoost_h1,5.07158870233184,3.951632761338949
COLORADO,CatBoost_h12,5.3404605814779105,4.159140948689453
COLORADO,CatBoost_h3,5.061007352764446,4.049023753863227
COLORADO,CatBoost_h6,5.034796341443398,3.954792421504932
COLORADO,ElasticNet_h1,5.190735226054397,4.131510936505595
COLORADO,ElasticNet_h12,6.337457183815442,5.002857800193675
COLORADO,ElasticNet_h3,5.261701531693253,4.27957634789263
COLORADO,ElasticNet_h6,5.509797593513961,4.50169340453092
COLORADO,Lasso_h1,5.190647506120896,4.131498450727391
COLORADO,Lasso_h12,6.337248477769551,5.002672749332648
COLORADO,Lasso_h3,5.261456495780716,4.279353640166444
COLORADO,Lasso_h6,5.5095899363784655,4.501545575388537
COLORADO,LightGBM_h1,4.597575432050102,3.6051356097878497
COLORADO,LightGBM_h12,4.903294469861216,3.774035820654125
COLORADO,LightGBM_h3,4.5611379812903285,3.6035318690664475
COLORADO,LightGBM_h6,4.75191996694299,3.8136116798425577
COLORADO,PLS_h1,5.18643471368939,4.147301328383882
COLORADO,PLS_h12,6.286368258054798,4.9777066512832535
COLORADO,PLS_h3,5.277503366193607,4.284712803383388
COLORADO,PLS_h6,5.500925477008184,4.490091198014457
COLORADO,Ridge_h1,5.221074040011923,4.169703251280004
COLORADO,Ridge_h12,6.339713434688635,4.971863406806008
COLORADO,Ridge_h3,5.249255086060825,4.263393229665984
COLORADO,Ridge_h6,5.479720264361054,4.476705331810902
COLORADO,XGBoost_h1,4.547158742826356,3.607397605975469
COLORADO,XGBoost_h12,4.94599490471184,3.820019175608953
COLORADO,XGBoost_h3,4.655229200801636,3.645658632119497
COLORADO,XGBoost_h6,4.710820459000768,3.731610804796219
CONNECTICUT,CatBoost_h1,3.3935121295512896,2.6256166591844035
CONNECTICUT,CatBoost_h12,3.330651063791758,2.7260565432946713
CONNECTICUT,CatBoost_h3,3.463196454616008,2.791775875804907
CONNECTICUT,CatBoost_h6,3.689856980313259,3.0079237020152783
CONNECTICUT,ElasticNet_h1,3.4674301141153414,2.6706644537242066
CONNECTICUT,ElasticNet_h12,3.352459259445646,2.714228378729493
CONNECTICUT,ElasticNet_h3,3.3708403729660965,2.786568789428251
CONNECTICUT,ElasticNet_h6,3.6167345696618427,2.940910301727481
CONNECTICUT,Lasso_h1,3.46727805300546,2.6704462842297425
CONNECTICUT,Lasso_h12,3.3525201330748873,2.7143159538293262
CONNECTICUT,Lasso_h3,3.370892904722409,2.78662671542762
CONNECTICUT,Lasso_h6,3.616903900097522,2.9409701556319505
