State,model,rmse,mae
SOUTH DAKOTA,ElasticNet,2.2602935305923446,1.8014514235765837
SOUTH DAKOTA,Lasso,2.2602389150169278,1.8013923488095838
SOUTH DAKOTA,LightGBM,2.1267291900453085,1.6801816208274927
SOUTH DAKOTA,PLS,2.2707627880710533,1.8074639702242916
SOUTH DAKOTA,Ridge,2.2787853921645755,1.8160064348345613
SOUTH DAKOTA,XGBoost,2.1248022928083046,1.6618556703130405
TEXAS,CatBoost,9.945235006457432,7.652896578059575
TEXAS,ElasticNet,15.923915233009767,12.787298661452787
TEXAS,Lasso,15.92338013135126,12.786849948065276
TEXAS,LightGBM,8.966888157735552,7.291004883685068
TEXAS,PLS,15.951440500120889,12.821189251234228
TEXAS,Ridge,15.841447447288317,12.908281309462367
TEXAS,XGBoost,6.927191378114226,5.27578592300415
WEST VIRGINIA,CatBoost,2.994382902326624,2.4309187573322557
WEST VIRGINIA,ElasticNet,2.8759929801858553,2.3078706761044425
WEST VIRGINIA,Lasso,2.876102294141959,2.307959726114932
WEST VIRGINIA,LightGBM,2.6617324087695944,2.1515152929023267
WEST VIRGINIA,PLS,2.889662501908596,2.3278202485881017
WEST VIRGINIA,Ridge,2.881107774719944,2.319926320800238
WEST VIRGINIA,XGBoost,2.628674223633097,2.1127761602401733
WISCONSIN,CatBoost,5.2758567349149,4.078797037652067
WISCONSIN,ElasticNet,5.639612212614924,4.479901236188501
WISCONSIN,Lasso,5.63990263630713,4.4800966365641655
WISCONSIN,LightGBM,4.845530082493413,3.8732784353387992
WISCONSIN,PLS,5.6799875974794745,4.5154768124751286
WISCONSIN,Ridge,5.580073782608641,4.4280578749781965
WISCONSIN,XGBoost,4.843631602009163,3.820153295993805
